myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,warehouseID,myFractionOfDisastersUsingDummy,bigMCostDummy,rawDual,adjustedDual
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Noumea, Marshall Islands",0.028985507246376812,1000000.0,-28841.348049888322,144.1591964884883
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Rarotonga, Cook Islands",0.028985507246376812,1000000.0,-28840.779189430395,144.72805694641465
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Honiara, Solomon Islands",0.028985507246376812,1000000.0,-28913.17302465562,72.33422172119026
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Port Moresby, Papua New Guinea",0.028985507246376812,1000000.0,-28840.57971014503,144.92753623178032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Suva, Fiji",0.028985507246376812,1000000.0,-29022.748662227594,-37.24141585078178
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Port Vila, Vanuatu",0.028985507246376812,1000000.0,-28877.01669097771,108.49055539910296
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Majuro, New Caledonia",0.028985507246376812,1000000.0,-28840.71111511236,144.79613126445292
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Brisbane, Australia",0.028985507246376812,1000000.0,-29271.86390853661,-286.3566621597947
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Pohnpei, Federated States of Micronesia",0.028985507246376812,1000000.0,-28841.998480931583,143.50876544522995
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Actual,"Nukualofa, Tonga",0.028985507246376812,1000000.0,-28876.715942029092,108.79130434772196
