Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,distance_km,drivingTime_hrs
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Oregon,Tillamook County,45.5293478,-123.7052374,1124.0,11.584722222222224
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Lewis County,46.6195461,-122.4554639,1186.0,11.559722222222224
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,King County,47.5480339,-121.9836029,1316.0,12.761666666666667
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Grays Harbor County,46.9953526,-123.7012468,1242.0,12.146111111111109
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Wahkiakum County,46.3259463,-123.4945592,1158.0,11.330277777777773
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Thurston County,46.86457470000001,-122.7695986,1195.0,11.525555555555556
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Pierce County,47.0675877,-122.1295269,1261.0,12.695833333333333
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Washington,Benton County,46.31663620000001,-119.5021582,1176.0,12.115
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Oregon,Clatsop County,46.0210796,-123.76530420000002,1134.0,11.458611111111109
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Clay County,33.279527,-85.84862360000002,3870.0,35.51638888888889
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,DeKalb County,34.521139700000006,-85.684578,3821.0,35.505555555555546
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Chilton County,32.944392,-86.6611083,3818.0,34.888888888888886
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Jefferson County,33.4914122,-86.9824288,3744.0,34.32361111111111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Dallas County,32.2332138,-87.14228949999998,3779.0,35.04805555555556
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Jackson County,34.709038799999995,-86.0121573,3781.0,35.036944444444444
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Randolph County,33.2681523,-85.52002399999998,3903.0,35.731944444444444
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Greene County,32.9718107,-87.9334803,3688.0,33.81861111111111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Calhoun County,33.7701576,-85.80766,3862.0,35.39861111111111
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Talladega County,33.4231716,-86.13446970000003,3834.0,35.0175
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Coosa County,32.8897772,-86.21969370000002,3874.0,35.451388888888886
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Marshall County,34.3652297,-86.3376761,3752.0,34.94222222222222
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Cherokee County,34.166532200000006,-85.684578,3885.0,35.55166666666667
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Bibb County,32.956279800000004,-87.14228949999998,3773.0,34.574444444444445
FEMA,San Francisco,California,"San Francisco, California",37.7749295,-122.4194155,0,Alabama,Cullman County,34.2011537,-86.8220341,3705.0,34.21611111111111
